MEM_GENDER,MEM_RACE,MEM_ETHNICITY,MEM_STATE,PRIMARY_CHRONIC_CONDITION_ROLLUP_DESC,member_count
F,2,2,CA,108 - SEVERE HEART FAILURE/TRANSPLANT/RHEUMATIC HEART DISEASE/NON-RHEUMATIC VALVULAR HEART DISEASE,97
F,2,2,CA,109 - HEMOPHILIA & SICKLE CELL & CHRONIC BLOOD DISORDERS,48
F,2,2,CA,110 - BOTH CAD & DIABETES,21
F,2,2,CA,111 - CAD,35
F,2,2,CA,112 - DIABETES,336
F,2,2,CA,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),400
F,2,2,CA,114 - COPD,38
F,2,2,CA,115 - ASTHMA,351
F,2,2,CA,116 - NEUROLOGIC DISORDERS,124
F,2,2,CA,117 - INTELLECTUAL DISABILITY,96
F,2,2,CA,118 - CONGENITAL ANOMALIES,34
F,2,2,CA,120 - CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS,94
F,2,2,CA,"121 - DEPRESSION, SUBSTANCE ABUSE AND OTHER MENTAL HEALTH DISORDER",560
F,2,2,CA,122 - GASTROINTESTINAL  DISORDERS,70
F,2,2,CA,123 - THYROID DISORDERS,68
F,2,2,CA,124 - DERMATOLOGIC DISORDERS,7
F,2,2,CA,126 - OTHER CHRONIC CONDITIONS,609
F,2,2,CA,128 - HEALTHY CHILD (2-5),696
F,2,2,CA,137 - HEALTHY FEMALE (6-15),1563
F,2,2,CA,138 - HEALTHY FEMALE (16-40),3154
F,2,2,CA,139 - HEALTHY FEMALE (41-64),1448
F,2,2,CA,140 - HEALTHY FEMALE (65-69),216
F,2,2,CA,141 - HEALTHY FEMALE (70-74),154
F,2,2,CA,142 - HEALTHY FEMALE (75-79),58
F,2,2,CA,143 - HEALTHY FEMALE (80-84),50
F,2,2,CA,144 - HEALTHY FEMALE (85+),39
F,2,2,HI,101 - MAJOR PSYCHOSIS,2
F,2,2,HI,102 - SEVERE DEMENTIA,1
F,2,2,HI,103 - CANCER,6
F,2,2,HI,104 - RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT,8
F,2,2,HI,"105 - LIVER DISEASE (HEPATITIS, CIRRHOSIS) – POST TRANSPLANT",1
F,2,2,HI,107 - SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE,2
F,2,2,HI,108 - SEVERE HEART FAILURE/TRANSPLANT/RHEUMATIC HEART DISEASE/NON-RHEUMATIC VALVULAR HEART DISEASE,2
F,2,2,HI,112 - DIABETES,10
F,2,2,HI,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),19
F,2,2,HI,115 - ASTHMA,12
F,2,2,HI,116 - NEUROLOGIC DISORDERS,3
F,2,2,HI,120 - CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS,3
F,2,2,HI,"121 - DEPRESSION, SUBSTANCE ABUSE AND OTHER MENTAL HEALTH DISORDER",12
F,2,2,HI,122 - GASTROINTESTINAL  DISORDERS,3
F,2,2,HI,123 - THYROID DISORDERS,2
F,2,2,HI,126 - OTHER CHRONIC CONDITIONS,13
F,2,2,HI,128 - HEALTHY CHILD (2-5),13
F,2,2,HI,137 - HEALTHY FEMALE (6-15),21
F,2,2,HI,138 - HEALTHY FEMALE (16-40),62
F,2,2,HI,139 - HEALTHY FEMALE (41-64),24
F,2,2,HI,140 - HEALTHY FEMALE (65-69),2
F,2,2,MI,101 - MAJOR PSYCHOSIS,1
F,2,2,MI,102 - SEVERE DEMENTIA,1
F,2,2,MI,103 - CANCER,4
F,2,2,MI,104 - RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT,3
F,2,2,MI,"105 - LIVER DISEASE (HEPATITIS, CIRRHOSIS) – POST TRANSPLANT",1
F,2,2,MI,107 - SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE,1
F,2,2,MI,108 - SEVERE HEART FAILURE/TRANSPLANT/RHEUMATIC HEART DISEASE/NON-RHEUMATIC VALVULAR HEART DISEASE,1
F,2,2,MI,112 - DIABETES,4
F,2,2,MI,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),13
F,2,2,MI,115 - ASTHMA,7
F,2,2,MI,116 - NEUROLOGIC DISORDERS,2
F,2,2,MI,120 - CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS,2
F,2,2,MI,"121 - DEPRESSION, SUBSTANCE ABUSE AND OTHER MENTAL HEALTH DISORDER",9
F,2,2,MI,122 - GASTROINTESTINAL  DISORDERS,2
F,2,2,MI,123 - THYROID DISORDERS,2
F,2,2,MI,126 - OTHER CHRONIC CONDITIONS,6
F,2,2,MI,128 - HEALTHY CHILD (2-5),5
F,2,2,MI,137 - HEALTHY FEMALE (6-15),15
F,2,2,MI,138 - HEALTHY FEMALE (16-40),43
F,2,2,MI,139 - HEALTHY FEMALE (41-64),13
F,2,2,WA,101 - MAJOR PSYCHOSIS,20
F,2,2,WA,102 - SEVERE DEMENTIA,1
F,2,2,WA,103 - CANCER,13
F,2,2,WA,104 - RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT,21
F,2,2,WA,"105 - LIVER DISEASE (HEPATITIS, CIRRHOSIS) – POST TRANSPLANT",11
F,2,2,WA,106 - HIV,6
F,2,2,WA,107 - SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE,12
F,2,2,WA,108 - SEVERE HEART FAILURE/TRANSPLANT/RHEUMATIC HEART DISEASE/NON-RHEUMATIC VALVULAR HEART DISEASE,16
F,2,2,WA,109 - HEMOPHILIA & SICKLE CELL & CHRONIC BLOOD DISORDERS,16
F,2,2,WA,110 - BOTH CAD & DIABETES,2
F,2,2,WA,111 - CAD,5
F,2,2,WA,112 - DIABETES,66
F,2,2,WA,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),91
F,2,2,WA,114 - COPD,4
F,2,2,WA,115 - ASTHMA,122
F,2,2,WA,116 - NEUROLOGIC DISORDERS,56
F,2,2,WA,117 - INTELLECTUAL DISABILITY,47
F,2,2,WA,118 - CONGENITAL ANOMALIES,22
F,2,2,WA,120 - CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS,24
F,2,2,WA,"121 - DEPRESSION, SUBSTANCE ABUSE AND OTHER MENTAL HEALTH DISORDER",237
F,2,2,WA,122 - GASTROINTESTINAL  DISORDERS,33
F,2,2,WA,123 - THYROID DISORDERS,22
F,2,2,WA,124 - DERMATOLOGIC DISORDERS,1
F,2,2,WA,126 - OTHER CHRONIC CONDITIONS,180
F,2,2,WA,128 - HEALTHY CHILD (2-5),200
F,2,2,WA,137 - HEALTHY FEMALE (6-15),430
F,2,2,WA,138 - HEALTHY FEMALE (16-40),732
F,2,2,WA,139 - HEALTHY FEMALE (41-64),224
F,2,2,WA,140 - HEALTHY FEMALE (65-69),22
F,2,2,WA,141 - HEALTHY FEMALE (70-74),11
F,2,2,WA,142 - HEALTHY FEMALE (75-79),10
F,2,2,WA,143 - HEALTHY FEMALE (80-84),2
F,2,2,WA,144 - HEALTHY FEMALE (85+),3
F,2,3,HI,101 - MAJOR PSYCHOSIS,1
F,2,3,HI,102 - SEVERE DEMENTIA,1
F,2,3,HI,103 - CANCER,1
F,2,3,HI,104 - RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT,19
F,2,3,HI,"105 - LIVER DISEASE (HEPATITIS, CIRRHOSIS) – POST TRANSPLANT",2
F,2,3,HI,107 - SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE,8
F,2,3,HI,108 - SEVERE HEART FAILURE/TRANSPLANT/RHEUMATIC HEART DISEASE/NON-RHEUMATIC VALVULAR HEART DISEASE,8
F,2,3,HI,109 - HEMOPHILIA & SICKLE CELL & CHRONIC BLOOD DISORDERS,1
F,2,3,HI,110 - BOTH CAD & DIABETES,4
F,2,3,HI,111 - CAD,2
F,2,3,HI,112 - DIABETES,15
F,2,3,HI,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),35
F,2,3,HI,114 - COPD,3
F,2,3,HI,115 - ASTHMA,8
F,2,3,HI,116 - NEUROLOGIC DISORDERS,8
F,2,3,HI,117 - INTELLECTUAL DISABILITY,4
F,2,3,HI,120 - CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS,12
F,2,3,HI,"121 - DEPRESSION, SUBSTANCE ABUSE AND OTHER MENTAL HEALTH DISORDER",19
F,2,3,HI,122 - GASTROINTESTINAL  DISORDERS,4
F,2,3,HI,123 - THYROID DISORDERS,2
F,2,3,HI,124 - DERMATOLOGIC DISORDERS,1
F,2,3,HI,126 - OTHER CHRONIC CONDITIONS,24
F,2,3,HI,128 - HEALTHY CHILD (2-5),7
F,2,3,HI,137 - HEALTHY FEMALE (6-15),17
F,2,3,HI,138 - HEALTHY FEMALE (16-40),52
F,2,3,HI,139 - HEALTHY FEMALE (41-64),48
F,2,3,HI,140 - HEALTHY FEMALE (65-69),2
F,2,3,HI,141 - HEALTHY FEMALE (70-74),4
F,2,3,HI,142 - HEALTHY FEMALE (75-79),2
F,2,3,HI,144 - HEALTHY FEMALE (85+),1
F,2,3,MI,101 - MAJOR PSYCHOSIS,1
F,2,3,MI,103 - CANCER,1
F,2,3,MI,104 - RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT,9
F,2,3,MI,107 - SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE,2
F,2,3,MI,108 - SEVERE HEART FAILURE/TRANSPLANT/RHEUMATIC HEART DISEASE/NON-RHEUMATIC VALVULAR HEART DISEASE,2
F,2,3,MI,109 - HEMOPHILIA & SICKLE CELL & CHRONIC BLOOD DISORDERS,1
F,2,3,MI,110 - BOTH CAD & DIABETES,3
F,2,3,MI,111 - CAD,1
F,2,3,MI,112 - DIABETES,5
F,2,3,MI,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),15
F,2,3,MI,114 - COPD,2
F,2,3,MI,115 - ASTHMA,3
F,2,3,MI,116 - NEUROLOGIC DISORDERS,7
F,2,3,MI,117 - INTELLECTUAL DISABILITY,2
F,2,3,MI,120 - CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS,6
F,2,3,MI,"121 - DEPRESSION, SUBSTANCE ABUSE AND OTHER MENTAL HEALTH DISORDER",11
F,2,3,MI,122 - GASTROINTESTINAL  DISORDERS,2
F,2,3,MI,123 - THYROID DISORDERS,2
F,2,3,MI,126 - OTHER CHRONIC CONDITIONS,11
F,2,3,MI,128 - HEALTHY CHILD (2-5),6
F,2,3,MI,137 - HEALTHY FEMALE (6-15),12
F,2,3,MI,138 - HEALTHY FEMALE (16-40),33
F,2,3,MI,139 - HEALTHY FEMALE (41-64),21
F,2,3,MI,140 - HEALTHY FEMALE (65-69),2
F,2,3,MI,141 - HEALTHY FEMALE (70-74),2
F,2,3,MI,142 - HEALTHY FEMALE (75-79),1
F,2,3,MI,144 - HEALTHY FEMALE (85+),1
F,3,1,CA,103 - CANCER,2
F,3,1,CA,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),2
F,3,1,CA,126 - OTHER CHRONIC CONDITIONS,1
F,3,1,WA,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),1
F,3,2,CA,101 - MAJOR PSYCHOSIS,345
F,3,2,CA,102 - SEVERE DEMENTIA,181
F,3,2,CA,103 - CANCER,500
F,3,2,CA,104 - RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT,411
F,3,2,CA,"105 - LIVER DISEASE (HEPATITIS, CIRRHOSIS) – POST TRANSPLANT",308
F,3,2,CA,106 - HIV,44
F,3,2,CA,107 - SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE,225
F,3,2,CA,108 - SEVERE HEART FAILURE/TRANSPLANT/RHEUMATIC HEART DISEASE/NON-RHEUMATIC VALVULAR HEART DISEASE,404
F,3,2,CA,109 - HEMOPHILIA & SICKLE CELL & CHRONIC BLOOD DISORDERS,94
F,3,2,CA,110 - BOTH CAD & DIABETES,98
F,3,2,CA,111 - CAD,164
F,3,2,CA,112 - DIABETES,1109
F,3,2,CA,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),1644
F,3,2,CA,114 - COPD,203
F,3,2,CA,115 - ASTHMA,1422
F,3,2,CA,116 - NEUROLOGIC DISORDERS,939
F,3,2,CA,117 - INTELLECTUAL DISABILITY,538
F,3,2,CA,118 - CONGENITAL ANOMALIES,202
F,3,2,CA,120 - CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS,625
F,3,2,CA,"121 - DEPRESSION, SUBSTANCE ABUSE AND OTHER MENTAL HEALTH DISORDER",3781
F,3,2,CA,122 - GASTROINTESTINAL  DISORDERS,348
F,3,2,CA,123 - THYROID DISORDERS,763
F,3,2,CA,124 - DERMATOLOGIC DISORDERS,30
F,3,2,CA,126 - OTHER CHRONIC CONDITIONS,2036
F,3,2,CA,128 - HEALTHY CHILD (2-5),2019
F,3,2,CA,137 - HEALTHY FEMALE (6-15),4416
F,3,2,CA,138 - HEALTHY FEMALE (16-40),10017
F,3,2,CA,139 - HEALTHY FEMALE (41-64),5523
F,3,2,CA,140 - HEALTHY FEMALE (65-69),700
F,3,2,CA,141 - HEALTHY FEMALE (70-74),439
F,3,2,CA,142 - HEALTHY FEMALE (75-79),284
F,3,2,CA,143 - HEALTHY FEMALE (80-84),202
F,3,2,CA,144 - HEALTHY FEMALE (85+),243
F,3,2,HI,101 - MAJOR PSYCHOSIS,3
F,3,2,HI,102 - SEVERE DEMENTIA,2
F,3,2,HI,103 - CANCER,8
F,3,2,HI,104 - RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT,11
F,3,2,HI,"105 - LIVER DISEASE (HEPATITIS, CIRRHOSIS) – POST TRANSPLANT",4
F,3,2,HI,107 - SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE,7
F,3,2,HI,108 - SEVERE HEART FAILURE/TRANSPLANT/RHEUMATIC HEART DISEASE/NON-RHEUMATIC VALVULAR HEART DISEASE,7
F,3,2,HI,109 - HEMOPHILIA & SICKLE CELL & CHRONIC BLOOD DISORDERS,4
F,3,2,HI,110 - BOTH CAD & DIABETES,2
F,3,2,HI,111 - CAD,4
F,3,2,HI,112 - DIABETES,19
F,3,2,HI,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),38
F,3,2,HI,114 - COPD,3
F,3,2,HI,115 - ASTHMA,30
F,3,2,HI,116 - NEUROLOGIC DISORDERS,17
F,3,2,HI,117 - INTELLECTUAL DISABILITY,9
F,3,2,HI,118 - CONGENITAL ANOMALIES,2
F,3,2,HI,120 - CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS,11
F,3,2,HI,"121 - DEPRESSION, SUBSTANCE ABUSE AND OTHER MENTAL HEALTH DISORDER",48
F,3,2,HI,122 - GASTROINTESTINAL  DISORDERS,8
F,3,2,HI,123 - THYROID DISORDERS,14
F,3,2,HI,124 - DERMATOLOGIC DISORDERS,2
F,3,2,HI,126 - OTHER CHRONIC CONDITIONS,29
F,3,2,HI,128 - HEALTHY CHILD (2-5),24
F,3,2,HI,137 - HEALTHY FEMALE (6-15),54
F,3,2,HI,138 - HEALTHY FEMALE (16-40),143
F,3,2,HI,139 - HEALTHY FEMALE (41-64),71
F,3,2,HI,140 - HEALTHY FEMALE (65-69),1
F,3,2,HI,141 - HEALTHY FEMALE (70-74),1
F,3,2,MI,101 - MAJOR PSYCHOSIS,2
F,3,2,MI,102 - SEVERE DEMENTIA,2
F,3,2,MI,103 - CANCER,4
F,3,2,MI,104 - RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT,7
F,3,2,MI,"105 - LIVER DISEASE (HEPATITIS, CIRRHOSIS) – POST TRANSPLANT",3
F,3,2,MI,107 - SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE,3
F,3,2,MI,108 - SEVERE HEART FAILURE/TRANSPLANT/RHEUMATIC HEART DISEASE/NON-RHEUMATIC VALVULAR HEART DISEASE,4
F,3,2,MI,109 - HEMOPHILIA & SICKLE CELL & CHRONIC BLOOD DISORDERS,3
F,3,2,MI,110 - BOTH CAD & DIABETES,1
F,3,2,MI,111 - CAD,1
F,3,2,MI,112 - DIABETES,9
F,3,2,MI,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),22
F,3,2,MI,114 - COPD,2
F,3,2,MI,115 - ASTHMA,11
F,3,2,MI,116 - NEUROLOGIC DISORDERS,6
F,3,2,MI,120 - CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS,6
F,3,2,MI,"121 - DEPRESSION, SUBSTANCE ABUSE AND OTHER MENTAL HEALTH DISORDER",32
F,3,2,MI,122 - GASTROINTESTINAL  DISORDERS,6
F,3,2,MI,123 - THYROID DISORDERS,9
F,3,2,MI,124 - DERMATOLOGIC DISORDERS,1
F,3,2,MI,126 - OTHER CHRONIC CONDITIONS,15
F,3,2,MI,128 - HEALTHY CHILD (2-5),18
F,3,2,MI,137 - HEALTHY FEMALE (6-15),25
F,3,2,MI,138 - HEALTHY FEMALE (16-40),87
F,3,2,MI,139 - HEALTHY FEMALE (41-64),32
F,3,2,MI,140 - HEALTHY FEMALE (65-69),1
F,3,2,WA,101 - MAJOR PSYCHOSIS,136
F,3,2,WA,102 - SEVERE DEMENTIA,24
F,3,2,WA,103 - CANCER,232
F,3,2,WA,104 - RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT,126
F,3,2,WA,"105 - LIVER DISEASE (HEPATITIS, CIRRHOSIS) – POST TRANSPLANT",150
F,3,2,WA,106 - HIV,14
F,3,2,WA,107 - SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE,105
F,3,2,WA,108 - SEVERE HEART FAILURE/TRANSPLANT/RHEUMATIC HEART DISEASE/NON-RHEUMATIC VALVULAR HEART DISEASE,151
F,3,2,WA,109 - HEMOPHILIA & SICKLE CELL & CHRONIC BLOOD DISORDERS,50
F,3,2,WA,110 - BOTH CAD & DIABETES,31
F,3,2,WA,111 - CAD,46
F,3,2,WA,112 - DIABETES,415
F,3,2,WA,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),674
F,3,2,WA,114 - COPD,80
F,3,2,WA,115 - ASTHMA,776
F,3,2,WA,116 - NEUROLOGIC DISORDERS,510
F,3,2,WA,117 - INTELLECTUAL DISABILITY,345
F,3,2,WA,118 - CONGENITAL ANOMALIES,112
F,3,2,WA,120 - CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS,275
F,3,2,WA,"121 - DEPRESSION, SUBSTANCE ABUSE AND OTHER MENTAL HEALTH DISORDER",2124
F,3,2,WA,122 - GASTROINTESTINAL  DISORDERS,192
F,3,2,WA,123 - THYROID DISORDERS,321
F,3,2,WA,124 - DERMATOLOGIC DISORDERS,15
F,3,2,WA,126 - OTHER CHRONIC CONDITIONS,897
F,3,2,WA,128 - HEALTHY CHILD (2-5),1035
F,3,2,WA,137 - HEALTHY FEMALE (6-15),2200
F,3,2,WA,138 - HEALTHY FEMALE (16-40),4425
F,3,2,WA,139 - HEALTHY FEMALE (41-64),1856
F,3,2,WA,140 - HEALTHY FEMALE (65-69),199
F,3,2,WA,141 - HEALTHY FEMALE (70-74),109
F,3,2,WA,142 - HEALTHY FEMALE (75-79),85
F,3,2,WA,143 - HEALTHY FEMALE (80-84),49
F,3,2,WA,144 - HEALTHY FEMALE (85+),61
F,3,3,CA,138 - HEALTHY FEMALE (16-40),2
F,3,3,HI,101 - MAJOR PSYCHOSIS,12
F,3,3,HI,102 - SEVERE DEMENTIA,51
F,3,3,HI,103 - CANCER,182
F,3,3,HI,104 - RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT,166
F,3,3,HI,"105 - LIVER DISEASE (HEPATITIS, CIRRHOSIS) – POST TRANSPLANT",37
F,3,3,HI,107 - SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE,76
F,3,3,HI,108 - SEVERE HEART FAILURE/TRANSPLANT/RHEUMATIC HEART DISEASE/NON-RHEUMATIC VALVULAR HEART DISEASE,91
F,3,3,HI,109 - HEMOPHILIA & SICKLE CELL & CHRONIC BLOOD DISORDERS,17
F,3,3,HI,110 - BOTH CAD & DIABETES,32
F,3,3,HI,111 - CAD,66
F,3,3,HI,112 - DIABETES,223
F,3,3,HI,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),493
F,3,3,HI,114 - COPD,60
F,3,3,HI,115 - ASTHMA,129
F,3,3,HI,116 - NEUROLOGIC DISORDERS,110
F,3,3,HI,117 - INTELLECTUAL DISABILITY,22
F,3,3,HI,118 - CONGENITAL ANOMALIES,10
F,3,3,HI,120 - CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS,217
F,3,3,HI,"121 - DEPRESSION, SUBSTANCE ABUSE AND OTHER MENTAL HEALTH DISORDER",248
F,3,3,HI,122 - GASTROINTESTINAL  DISORDERS,78
F,3,3,HI,123 - THYROID DISORDERS,191
F,3,3,HI,124 - DERMATOLOGIC DISORDERS,10
F,3,3,HI,126 - OTHER CHRONIC CONDITIONS,341
F,3,3,HI,128 - HEALTHY CHILD (2-5),60
F,3,3,HI,137 - HEALTHY FEMALE (6-15),185
F,3,3,HI,138 - HEALTHY FEMALE (16-40),589
F,3,3,HI,139 - HEALTHY FEMALE (41-64),655
F,3,3,HI,140 - HEALTHY FEMALE (65-69),132
F,3,3,HI,141 - HEALTHY FEMALE (70-74),97
F,3,3,HI,142 - HEALTHY FEMALE (75-79),42
F,3,3,HI,143 - HEALTHY FEMALE (80-84),28
F,3,3,HI,144 - HEALTHY FEMALE (85+),35
F,3,3,MI,101 - MAJOR PSYCHOSIS,9
F,3,3,MI,102 - SEVERE DEMENTIA,21
F,3,3,MI,103 - CANCER,75
F,3,3,MI,104 - RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT,80
F,3,3,MI,"105 - LIVER DISEASE (HEPATITIS, CIRRHOSIS) – POST TRANSPLANT",14
F,3,3,MI,107 - SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE,31
F,3,3,MI,108 - SEVERE HEART FAILURE/TRANSPLANT/RHEUMATIC HEART DISEASE/NON-RHEUMATIC VALVULAR HEART DISEASE,41
